Player,From / To,Date,Price
Harvey Sutcliffe,Leeds UnitedHalifax,01-07-2024,Free
Lewis Bate,Leeds UnitedStockport,01-07-2024,Free
Jack Wadham,B'mouthSutton United,01-07-2024,Free
Enes Ünal,GetafeB'mouth,01-07-2024,€16.5M
Brody Peart,BrightonWycombe,01-07-2024,Free
Luis Guilherme,PalmeirasWest Ham,01-07-2024,€23M
Joe Young,WolvesShrewsbury Town,01-07-2024,Free
Nathan Trott,West HamKobenhavn,01-07-2024,€1.5M
Arthur Gregory,BrightonWorthing U18,01-07-2024,Free
Billy Vigar,ArsenalHastings United,01-07-2024,Free
Ross Barkley,LutonAston Villa,01-07-2024,€5.9M
Taylor Harwood-Bellis,Man CitySouthampton,01-07-2024,€23M
Marc Guiu,BarcelonaChelsea,01-07-2024,€6M
Lewis Dobbin,EvertonAston Villa,01-07-2024,€11.8M
Yankuba Minteh,NewcastleBrighton,01-07-2024,€35M
Asmir Begović,QPREverton,01-07-2024,Free
Bendegúz Bolla,WolvesRapid,01-07-2024,Free
Thilo Kehrer,West HamMonaco,01-07-2024,€11M
Ibrahim Osman,NordsjaellandBrighton,01-07-2024,€19.5M
Kelland Watts,NewcastleCambridge,01-07-2024,Free
Tommy Doyle,Man CityWolves,01-07-2024,€5M
Tosin Adarabioyo,FulhamChelsea,01-07-2024,Free
Dan Chesters,West HamSalford,01-07-2024,Free
Luis Sinisterra,Leeds UnitedB'mouth,01-07-2024,€23.4M
Robin Koch,Leeds UnitedE. Frankfurt,01-07-2024,Free
Mikey O'Neill,BurnleyWarrington Town FC,01-07-2024,Free
Samuel Iling-Junior,JuventusAston Villa,01-07-2024,€14M
Cătălin Cîrjan,ArsenalDinamo Bucuresti,01-07-2024,Free
Lewis Hall,ChelseaNewcastle,01-07-2024,€33M
Charlie Taylor,BurnleySouthampton,01-07-2024,Free
